lr,ins,sr,reg,mean,rmse,std
0.75,0.8,2.0,100.0,0.04086826466853618,0.03990876990796769,0.06067711743776022
0.75,1.4,0.2,0.01,0.04058665849198389,0.040645145089764904,0.0630183944799771
0.75,1.4,0.2,0.1,0.040587654570812426,0.040634771624951486,0.0630088491568069
0.75,1.4,0.2,1.0,0.0405926129999769,0.04056418074583874,0.06295328580517709
0.75,1.4,0.2,10.0,0.040611959361847215,0.04019588512040949,0.06267608432450847
0.75,1.4,0.2,100.0,0.040642980176997245,0.038126426611589416,0.061126430716437606
0.75,1.4,0.8,0.01,0.0408061807808603,0.04182469615901136,0.06401819250532022
0.75,1.4,0.8,0.1,0.04080670190832915,0.04182166436053686,0.06401552252441597
0.75,1.4,0.8,1.0,0.040806118054199786,0.04180114156966047,0.06400374629907395
0.75,1.4,0.8,10.0,0.04080016668947835,0.0418975773677641,0.06414123890144845
0.75,1.4,0.8,100.0,0.04077702433366215,0.041284652016585564,0.06379318515607996
0.75,1.4,1.4,0.01,0.04062415966374195,0.04207631530823829,0.06344813904643605
0.75,1.4,1.4,0.1,0.04062391450274679,0.042075852325731376,0.06344809854933206
0.75,1.4,1.4,1.0,0.04062431712139507,0.04207793515302438,0.06344645829341568
0.75,1.4,1.4,10.0,0.040627071813719585,0.04231262108585687,0.06362949636008697
0.75,1.4,1.4,100.0,0.040639058529796594,0.04391854711011638,0.06482948462175461
0.75,1.4,2.0,0.01,0.04062177189491767,0.04066099616652794,0.06196641328662287
0.75,1.4,2.0,0.1,0.04064460257350131,0.040668479251885804,0.06196588935638853
0.75,1.4,2.0,1.0,0.04065360599115285,0.04067893447501738,0.06196307499170553
0.75,1.4,2.0,10.0,0.04066106782147563,0.04085287109462662,0.06201892101127336
0.75,1.4,2.0,100.0,0.04071185082144482,0.043111153169131736,0.06316620894150586
0.75,2.0,0.2,0.01,0.040563313831484066,0.04057710614802764,0.0630177596553783
0.75,2.0,0.2,0.1,0.04056382927464058,0.04057195513153093,0.06301260777174694
0.75,2.0,0.2,1.0,0.040566392544858415,0.040541567308796676,0.06298619731629634
0.75,2.0,0.2,10.0,0.04058307369915254,0.04051269176401638,0.0629601813892328
0.75,2.0,0.2,100.0,0.040638745031118285,0.03992970410288155,0.06231822228677964
0.75,2.0,0.8,0.01,0.040888867907420266,0.042043537302458314,0.06366761676926337
0.75,2.0,0.8,0.1,0.04088898102124238,0.04204208373247391,0.06366614698673823
0.75,2.0,0.8,1.0,0.04089027603750937,0.04203692084906036,0.06366195381157758
0.75,2.0,0.8,10.0,0.04089645699204174,0.04226002962538161,0.06386959801296135
