pitch,on,off,length,hand
71,72000,72240,240,1
69,72240,72360,120,1
61,72240,72360,120,1
69,72480,72720,240,1
61,72480,72720,240,1
59,72720,72840,120,1
68,72720,72840,120,1
68,72960,73920,960,1
59,72960,73920,960,1
62,72960,73920,960,1
69,73920,74400,480,1
61,73920,74400,480,1
74,74880,75360,480,1
69,74880,75360,480,1
66,74880,75360,480,1
79,75840,75972,132,1
78,75960,76092,132,1
76,76080,76212,132,1
78,76200,76332,132,1
81,76320,76452,132,1
79,76440,76572,132,1
78,76560,76692,132,1
79,76680,76812,132,1
81,76800,77280,480,1
81,77760,77820,60,1
83,78000,78060,60,1
85,78240,78300,60,1
86,78480,78540,60,1
81,78720,79200,480,1
78,79200,79680,480,1
81,79680,79800,120,1
79,79800,79920,120,1
78,79920,80040,120,1
79,80040,80160,120,1
81,80160,80220,60,1
79,80400,80460,60,1
77,80640,80880,240,1
78,80880,81120,240,1
79,81600,81732,132,1
78,81720,81852,132,1
76,81840,81972,132,1
78,81960,82092,132,1
81,82080,82212,132,1
79,82200,82332,132,1
78,82320,82452,132,1
79,82440,82572,132,1
81,82560,83040,480,1
81,83520,83580,60,1
83,83760,83820,60,1
85,84000,84060,60,1
86,84240,84300,60,1
81,84480,84960,480,1
78,84960,85440,480,1
81,85440,85560,120,1
79,85560,85680,120,1
78,85680,85800,120,1
79,85800,85920,120,1
81,85920,86040,120,1
79,86040,86160,120,1
78,86160,86280,120,1
76,86280,86400,120,1
74,86400,86520,120,1
69,86880,87000,120,1
78,87360,87448,88,1
79,87440,87528,88,1
78,87520,87608,88,1
79,87600,87688,88,1
78,87679,87767,88,1
79,87759,87847,88,1
78,87839,87927,88,1
79,87919,88007,88,1
78,87999,88087,88,1
76,88080,88212,132,1
74,88200,88332,132,1
73,88320,88440,120,1
69,88800,88920,120,1
76,89280,89400,120,1
76,90240,90360,120,1
69,90720,90840,120,1
79,91200,91288,88,1
81,91280,91368,88,1
79,91360,91448,88,1
81,91440,91528,88,1
79,91519,91607,88,1
81,91599,91687,88,1
79,91679,91767,88,1
81,91759,91847,88,1
79,91839,91927,88,1
78,91920,92052,132,1
76,92040,92172,132,1
74,92160,92280,120,1
69,92640,92760,120,1
78,93120,93240,120,1
78,94080,94200,120,1
74,94200,94332,132,1
76,94320,94452,132,1
78,94440,94572,132,1
79,94560,94692,132,1
81,94680,94812,132,1
83,94800,94932,132,1
85,94920,95052,132,1
86,95040,95172,132,1
85,95160,95292,132,1
83,95280,95412,132,1
81,95400,95532,132,1
79,95520,95652,132,1
78,95640,95772,132,1
76,95760,95892,132,1
74,95880,96012,132,1
76,96000,96132,132,1
78,96120,96252,132,1
76,96240,96372,132,1
75,96360,96492,132,1
76,96480,96612,132,1
78,96600,96732,132,1
79,96720,96852,132,1
81,96840,96972,132,1
83,96960,97092,132,1
81,97080,97212,132,1
79,97200,97332,132,1
78,97320,97452,132,1
76,97440,97572,132,1
74,97560,97692,132,1
73,97680,97812,132,1
71,97800,97932,132,1
73,97920,98052,132,1
74,98040,98172,132,1
73,98160,98292,132,1
69,98280,98412,132,1
74,98400,98520,120,1
79,98880,99012,132,1
81,99000,99132,132,1
79,99120,99252,132,1
76,99240,99372,132,1
79,99360,99492,132,1
78,99480,99612,132,1
76,99600,99732,132,1
74,99720,99852,132,1
73,99840,99972,132,1
74,99960,100092,132,1
73,100080,100212,132,1
69,100200,100332,132,1
74,100320,100440,120,1
79,100800,100932,132,1
81,100920,101052,132,1
79,101040,101172,132,1
76,101160,101292,132,1
79,101280,101412,132,1
78,101400,101532,132,1
76,101520,101652,132,1
74,101640,101772,132,1
73,101760,101880,120,1
76,101880,102000,120,1
73,102000,102120,120,1
69,102120,102240,120,1
78,102240,102360,120,1
81,102360,102480,120,1
78,102480,102600,120,1
74,102600,102720,120,1
73,102720,102840,120,1
76,102840,102960,120,1
73,102960,103080,120,1
69,103080,103200,120,1
78,103200,103320,120,1
81,103320,103440,120,1
78,103440,103560,120,1
74,103560,103680,120,1
76,103680,103770,90,1
73,103680,103770,90,1
76,103920,104010,90,1
81,103920,104010,90,1
73,103920,104010,90,1
76,104160,104250,90,1
73,104160,104250,90,1
81,104160,104250,90,1
81,104400,104490,90,1
73,104400,104490,90,1
76,104400,104490,90,1
76,104640,105060,420,1
73,104640,105060,420,1
81,104640,105060,420,1
74,105060,105120,60,1
73,105120,105240,120,1
71,105240,105360,120,1
73,105360,105480,120,1
74,105480,105600,120,1
75,105600,105840,240,1
76,105840,106080,240,1
76,106320,106560,240,1
81,106560,106800,240,1
80,106800,107040,240,1
78,107040,107280,240,1
76,107280,107520,240,1
73,107520,107760,240,1
74,107760,108000,240,1
74,108240,108480,240,1
76,108480,108720,240,1
74,108720,108960,240,1
73,108960,109200,240,1
71,109200,109440,240,1
68,109440,109680,240,1
69,109680,109920,240,1
71,110160,110400,240,1
72,110400,110640,240,1
73,110640,110880,240,1
76,111060,111120,60,1
74,111120,111360,240,1
73,111360,112080,720,1
74,112080,112200,120,1
73,112200,112320,120,1
71,112320,112560,240,1
73,112560,112680,120,1
74,112800,112920,120,1
75,113040,113160,120,1
75,113280,113520,240,1
76,113520,113760,240,1
78,114000,114060,60,1
76,114060,114120,60,1
75,114120,114180,60,1
76,114180,114240,60,1
81,114240,114360,120,1
80,114480,114600,120,1
78,114720,114840,120,1
76,114960,115080,120,1
73,115200,115440,240,1
74,115440,115680,240,1
76,115920,115980,60,1
74,115980,116040,60,1
73,116040,116100,60,1
74,116100,116160,60,1
76,116160,116280,120,1
74,116400,116520,120,1
73,116640,116760,120,1
71,116880,117000,120,1
73,117120,117480,360,1
76,117480,117600,120,1
66,117600,117960,360,1
71,117960,118080,120,1
69,118080,118560,480,1
68,118560,118620,60,1
69,118620,118680,60,1
68,118680,118740,60,1
69,118740,118800,60,1
68,118800,118880,80,1
66,118880,118960,80,1
68,118960,119040,80,1
69,119040,119160,120,1
76,119160,119280,120,1
75,119280,119400,120,1
76,119400,119520,120,1
78,119520,119640,120,1
76,119640,119760,120,1
75,119760,119880,120,1
76,119880,120000,120,1
74,120000,120120,120,1
76,120120,120240,120,1
74,120240,120360,120,1
76,120360,120480,120,1
74,120480,120600,120,1
76,120600,120720,120,1
74,120720,120840,120,1
76,120840,120960,120,1
73,120960,121080,120,1
76,121080,121200,120,1
75,121200,121320,120,1
76,121320,121440,120,1
78,121440,121560,120,1
76,121560,121680,120,1
75,121680,121800,120,1
76,121800,121920,120,1
74,121920,122040,120,1
76,122040,122160,120,1
74,122160,122280,120,1
76,122280,122400,120,1
74,122400,122520,120,1
76,122520,122640,120,1
74,122640,122760,120,1
76,122760,122880,120,1
69,122880,123360,480,1
81,123600,123720,120,1
83,123840,123960,120,1
81,124080,124200,120,1
80,124320,124440,120,1
76,124560,124680,120,1
81,124800,125280,480,1
45,125520,125640,120,1
47,125760,125880,120,1
45,126000,126120,120,1
44,126240,126360,120,1
40,126480,126600,120,1
45,126720,127200,480,1
76,127200,127680,480,1
74,127680,128160,480,1
73,128160,128640,480,1
78,128640,129000,360,1
80,129000,129040,40,1
78,129040,129080,40,1
76,129081,129121,40,1
78,129120,129240,120,1
80,129360,129480,120,1
83,129600,129840,240,1
81,129840,130080,240,1
80,130080,130320,240,1
78,130320,130560,240,1
76,130560,130800,240,1
76,131040,131520,480,1
74,131520,132000,480,1
73,132000,132480,480,1
71,132480,132840,360,1
78,132840,132960,120,1
76,132960,133080,120,1
74,133080,133200,120,1
73,133200,133320,120,1
71,133320,133440,120,1
69,133440,133920,480,1
71,133920,133980,60,1
73,133980,134040,60,1
71,134040,134100,60,1
73,134100,134160,60,1
71,134160,134240,80,1
69,134240,134320,80,1
71,134320,134400,80,1
69,134400,134640,240,1
76,134880,135360,480,1
74,135360,135840,480,1
73,135840,136320,480,1
78,136320,136680,360,1
80,136680,136720,40,1
78,136720,136760,40,1
76,136761,136801,40,1
78,136800,136920,120,1
80,137040,137160,120,1
83,137280,137520,240,1
81,137520,137760,240,1
80,137760,138000,240,1
78,138000,138240,240,1
76,138240,138480,240,1
76,138720,139200,480,1
74,139200,139680,480,1
73,139680,140160,480,1
71,140160,140520,360,1
78,140520,140640,120,1
76,140640,140760,120,1
74,140760,140880,120,1
73,140880,141000,120,1
71,141000,141120,120,1
69,141120,141600,480,1
71,141600,141660,60,1
73,141660,141720,60,1
71,141720,141780,60,1
73,141780,141840,60,1
71,141840,141920,80,1
69,141920,142000,80,1
71,142000,142080,80,1
69,142080,142200,120,1
64,142200,142320,120,1
69,142320,142440,120,1
73,142440,142560,120,1
76,142560,142680,120,1
73,142680,142800,120,1
74,142800,142920,120,1
71,142920,143040,120,1
69,143040,143160,120,1
64,143160,143280,120,1
69,143280,143400,120,1
73,143400,143520,120,1
76,143520,143640,120,1
73,143640,143760,120,1
74,143760,143880,120,1
71,143880,144000,120,1
69,144000,144240,240,1
74,144480,144720,240,1
80,144480,144720,240,1
71,144480,144720,240,1
81,144960,145200,240,1
69,144960,145200,240,1
73,144960,145200,240,1
74,145920,146160,240,1
66,145920,146160,240,1
64,146160,146280,120,1
73,146160,146280,120,1
64,146400,146640,240,1
73,146400,146640,240,1
62,146640,146760,120,1
71,146640,146760,120,1
71,146880,147120,240,1
62,146880,147120,240,1
69,147120,147240,120,1
61,147120,147240,120,1
69,147360,147600,240,1
61,147360,147600,240,1
68,147600,147720,120,1
59,147600,147720,120,1
62,147840,148800,960,1
68,147840,148800,960,1
59,147840,148800,960,1
69,148800,149280,480,1
61,148800,149280,480,1
81,149760,150000,240,1
79,150000,150120,120,1
79,150240,150480,240,1
78,150480,150600,120,1
78,150720,150960,240,1
76,150960,151080,120,1
76,151200,151440,240,1
75,151440,151560,120,1
72,151680,151920,240,1
71,151920,152040,120,1
71,152160,152400,240,1
69,152400,152520,120,1
69,152640,152880,240,1
67,152880,153000,120,1
67,153120,153360,240,1
66,153360,153480,120,1
75,151680,153600,1920,1
75,153600,153840,240,1
76,153840,153960,120,1
79,154320,154560,240,1
77,154560,154800,240,1
78,154800,154920,120,1
81,155280,155520,240,1
75,155520,156480,960,1
78,155520,156480,960,1
79,156480,156960,480,1
76,156480,156960,480,1
79,157440,157680,240,1
78,157680,157800,120,1
78,157920,158160,240,1
76,158160,158280,120,1
76,158400,158640,240,1
74,158640,158760,120,1
74,158880,159120,240,1
73,159120,159240,120,1
70,159360,159600,240,1
69,159600,159720,120,1
69,159840,160080,240,1
67,160080,160200,120,1
67,160320,160560,240,1
66,160560,160680,120,1
66,160800,161040,240,1
64,161040,161160,120,1
73,159360,161280,1920,1
73,161280,161520,240,1
74,161520,161640,120,1
78,162000,162240,240,1
75,162240,162480,240,1
76,162480,162600,120,1
79,162960,163200,240,1
73,163200,164160,960,1
76,163200,164160,960,1
78,164160,164640,480,1
74,164160,164640,480,1
78,165120,165240,120,1
86,165240,165360,120,1
78,165360,165480,120,1
86,165480,165600,120,1
78,165600,165720,120,1
86,165720,165840,120,1
78,165840,165960,120,1
86,165960,166080,120,1
78,166080,166200,120,1
86,166200,166320,120,1
78,166320,166440,120,1
86,166440,166560,120,1
78,166560,166680,120,1
86,166680,166800,120,1
78,166800,166920,120,1
86,166920,167040,120,1
76,167040,167160,120,1
86,167160,167280,120,1
76,167280,167400,120,1
86,167400,167520,120,1
76,167520,167640,120,1
86,167640,167760,120,1
76,167760,167880,120,1
86,167880,168000,120,1
76,168000,168120,120,1
85,168120,168240,120,1
76,168240,168360,120,1
85,168360,168480,120,1
76,168480,168600,120,1
85,168600,168720,120,1
76,168720,168840,120,1
85,168840,168960,120,1
74,168960,169080,120,1
85,169080,169200,120,1
74,169200,169320,120,1
85,169320,169440,120,1
74,169440,169560,120,1
85,169560,169680,120,1
74,169680,169800,120,1
85,169800,169920,120,1
74,169920,170040,120,1
83,170040,170160,120,1
74,170160,170280,120,1
83,170280,170400,120,1
74,170400,170520,120,1
83,170520,170640,120,1
74,170640,170760,120,1
83,170760,170880,120,1
73,170880,171000,120,1
83,171000,171120,120,1
73,171120,171240,120,1
83,171240,171360,120,1
73,171360,171480,120,1
83,171480,171600,120,1
73,171600,171720,120,1
83,171720,171840,120,1
72,171840,171960,120,1
81,171960,172080,120,1
72,172080,172200,120,1
81,172200,172320,120,1
72,172320,172440,120,1
81,172440,172560,120,1
72,172560,172680,120,1
81,172680,172800,120,1
81,172800,173040,240,1
79,173040,173220,180,1
71,172800,173280,480,1
79,173280,173520,240,1
78,173520,173700,180,1
86,173760,174000,240,1
85,174000,174180,180,1
77,173760,174240,480,1
85,174240,174480,240,1
83,174480,174660,180,1
79,174720,174960,240,1
78,174960,175140,180,1
78,175200,175440,240,1
76,175440,175620,180,1
82,174720,175680,960,1
74,175680,175920,240,1
73,175920,176100,180,1
73,176160,176400,240,1
71,176400,176580,180,1
83,175680,176640,960,1
76,176640,176880,240,1
67,176640,176880,240,1
66,176880,177000,120,1
74,176880,177000,120,1
74,177120,177360,240,1
66,177120,177360,240,1
64,177360,177480,120,1
73,177360,177480,120,1
64,177600,177840,240,1
73,177600,177840,240,1
62,177840,177960,120,1
71,177840,177960,120,1
62,178080,178320,240,1
71,178080,178320,240,1
70,178320,178440,120,1
61,178320,178440,120,1
61,178560,179520,960,1
70,178560,179520,960,1
64,178560,179520,960,1
71,179520,180000,480,1
62,179520,180000,480,1
62,180480,181440,960,1
66,180480,181440,960,1
71,180480,181440,960,1
72,181440,181920,480,1
66,181440,181920,480,1
62,181440,181920,480,1
74,182400,183120,720,1
75,183120,183360,240,1
71,182400,183360,960,1
76,183360,183840,480,1
72,183360,183840,480,1
74,184800,185280,480,1
72,185280,185760,480,1
71,185760,186240,480,1
76,186240,186600,360,1
78,186600,186640,40,1
76,186640,186680,40,1
74,186681,186721,40,1
76,186720,186840,120,1
78,186960,187080,120,1
81,187200,187440,240,1
79,187440,187560,120,1
78,187680,187920,240,1
76,187920,188040,120,1
74,188160,188400,240,1
74,188640,189120,480,1
72,189120,189600,480,1
71,189600,190080,480,1
69,190080,190440,360,1
76,190440,190560,120,1
74,190560,190680,120,1
72,190680,190800,120,1
71,190800,190920,120,1
69,190920,191040,120,1
67,191040,191520,480,1
69,191520,191580,60,1
71,191580,191640,60,1
69,191640,191700,60,1
71,191700,191760,60,1
69,191760,191840,80,1
67,191840,191920,80,1
69,191920,192000,80,1
67,192000,192240,240,1
74,192480,192960,480,1
72,192960,193440,480,1
71,193440,193920,480,1
76,193920,194280,360,1
78,194280,194320,40,1
76,194320,194360,40,1
74,194361,194401,40,1
76,194400,194520,120,1
78,194640,194760,120,1
81,194880,195120,240,1
79,195120,195240,120,1
78,195360,195600,240,1
76,195600,195720,120,1
74,195840,196080,240,1
74,196320,196800,480,1
72,196800,197280,480,1
71,197280,197760,480,1
69,197760,198120,360,1
76,198120,198240,120,1
74,198240,198360,120,1
72,198360,198480,120,1
71,198480,198600,120,1
69,198600,198720,120,1
67,198720,199200,480,1
69,199200,199260,60,1
71,199260,199320,60,1
69,199320,199380,60,1
71,199380,199440,60,1
69,199440,199520,80,1
67,199520,199600,80,1
69,199600,199680,80,1
67,199680,199800,120,1
69,199800,199920,120,1
67,199920,200040,120,1
66,200040,200160,120,1
67,200160,200280,120,1
71,200280,200400,120,1
69,200400,200520,120,1
72,200520,200640,120,1
71,200640,200760,120,1
69,200760,200880,120,1
67,200880,201000,120,1
66,201000,201120,120,1
67,201120,201240,120,1
71,201240,201360,120,1
69,201360,201480,120,1
72,201480,201600,120,1
71,201600,201720,120,1
69,201720,201840,120,1
67,201840,201960,120,1
66,201960,202080,120,1
67,202080,202200,120,1
71,202200,202320,120,1
69,202320,202440,120,1
72,202440,202560,120,1
71,202560,202680,120,1
74,202680,202800,120,1
